inventoryid,store,brand,productname,size,vendorid,vendorname,invoiceno,podate,receivingdate,invoicedate,paydate,unitprice,quantity,totalamount,classification,size_ml
32_MOUNTMEND_4689,32,4689,Hennessy Privilege VSOP,750mL,8112,MOET HENNESSY USA INC,11197,2016-07-14,2016-07-20,2016-08-01,2016-09-07,33.33,12,399.96,1,750.0
38_GOULCREST_3356,38,3356,Svedka Vodka,375mL,1392,CONSTELLATION BRANDS INC,12182,2016-09-20,2016-09-27,2016-10-09,2016-11-18,4.47,9,40.23,1,375.0
2_ASHBORNE_17876,2,17876,Darkhorse Cab Svgn,750mL,3252,E & J GALLO WINERY,12395,2016-09-30,2016-10-06,2016-10-15,2016-11-18,5.33,12,63.96,2,750.0
72_HARDERSFIELD_8066,72,8066,DeKuyper Triple Sec,1.75L,12546,JIM BEAM BRANDS COMPANY,11705,2016-08-18,2016-08-23,2016-09-04,2016-10-16,7.13,5,35.65,1,1750.0
44_PORTHCRAWL_13662,44,13662,Duckhorn Decoy Svgn Bl,750mL,4425,MARTIGNETTI COMPANIES,10247,2016-05-16,2016-05-26,2016-06-07,2016-07-05,9.43,12,113.16,2,750.0
35_HALIVAARA_6654,35,6654,Veuve Clicquot Brut Yellow,750mL,8112,MOET HENNESSY USA INC,12641,2016-10-17,2016-10-27,2016-11-08,2016-12-05,27.2,12,326.4,2,750.0
25_CAERSHIRE_29128,25,29128,Sutter Home Merlot Cal,187mL 4 Pk,8892,TRINCHERO FAMILY ESTATES,10255,2016-05-16,2016-05-27,2016-05-30,2016-07-15,3.97,6,23.82,2,
34_PITMERDEN_13991,34,13991,Colombo Cape Bleue Rose VdP,750mL,6785,PALM BAY INTERNATIONAL INC,10106,2016-05-06,2016-05-10,2016-05-20,2016-07-03,6.57,12,78.84,2,750.0
53_HILLFAR_1875,53,1875,Bushmills Black Bush,750mL,7245,PROXIMO SPIRITS INC.,13170,2016-11-22,2016-11-30,2016-12-05,2017-01-19,20.71,12,248.52,1,750.0
59_CLAETHORPES_7977,59,7977,M & R X Dry Vermouth,1.5L,480,BACARDI USA INC,8548,2016-01-20,2016-01-29,2016-02-02,2016-03-19,7.49,6,44.94,1,1500.0
39_EASTHALLOW_3272,39,3272,Sobieski Vodka,1.75L,9552,M S WALKER INC,10229,2016-05-15,2016-05-26,2016-06-05,2016-07-08,13.23,6,79.38,1,1750.0
14_BROMWICH_5103,14,5103,Fireball Cinnamon Whisky,1.75L,8004,SAZERAC CO INC,12101,2016-09-14,2016-09-21,2016-10-02,2016-11-10,17.14,4,68.56,1,1750.0
71_CLARCTON_4181,71,4181,Calypso Spiced Rum,1.75L,660,SAZERAC NORTH AMERICA INC.,13094,2016-11-16,2016-11-25,2016-12-06,2016-12-31,9.37,6,56.22,1,1750.0
78_EASTHAVEN_3158,78,3158,Pinnacle Tropical Punch,1.75L,12546,JIM BEAM BRANDS COMPANY,10451,2016-05-30,2016-06-09,2016-06-20,2016-07-14,12.77,4,51.08,1,1750.0
69_MOUNTMEND_27202,69,27202,DeLoach Sonoma Cnty Chard,750mL,4425,MARTIGNETTI COMPANIES,13214,2016-11-24,2016-12-01,2016-12-13,2017-01-07,6.8,12,81.6,2,750.0
56_BEGGAR'S HOLE_35913,56,35913,Stone Cellars Cab Svgn,1.5L,9819,TREASURY WINE ESTATES,10408,2016-05-26,2016-06-01,2016-06-08,2016-07-17,5.47,6,32.82,2,1500.0
76_DONCASTER_4450,76,4450,Leblon Natural Cane Cachaca,750mL,480,BACARDI USA INC,10325,2016-05-22,2016-06-01,2016-06-12,2016-07-13,18.51,6,111.06,1,750.0
24_PALPERROTH_5676,24,5676,Kinky Liqueur,50mL,7153,PINE STATE TRADING CO,8558,2016-01-20,2016-01-29,2016-02-07,2016-03-07,1.42,1,1.42,1,50.0
38_GOULCREST_8202,38,8202,Sambuca Romana,750mL,3960,DIAGEO NORTH AMERICA INC,12585,2016-10-13,2016-10-18,2016-10-31,2016-11-29,13.33,11,146.63,1,750.0
34_PITMERDEN_19283,34,19283,Roscato Bianco,750mL,6785,PALM BAY INTERNATIONAL INC,8333,2016-01-04,2016-01-12,2016-01-22,2016-02-23,6.89,11,75.79,2,750.0
76_DONCASTER_21824,76,21824,Taken Red Napa,750mL,8892,TRINCHERO FAMILY ESTATES,10424,2016-05-27,2016-06-02,2016-06-08,2016-07-10,16.89,6,101.34,2,750.0
15_WANBORNE_8112,15,8112,Stolichnaya,1.75L,8664,"STOLI GROUP,(USA) LLC",11254,2016-07-18,2016-07-29,2016-08-09,2016-09-01,19.52,2,39.04,1,1750.0
64_CESTERFIELD_10596,64,10596,Almaden Mt Rhine Calif B/B,5L,9815,WINE GROUP INC,11605,2016-08-10,2016-08-18,2016-08-26,2016-10-02,9.86,4,39.44,2,5000.0
76_DONCASTER_17865,76,17865,Ch St Jean Pnt Nr,750mL,9819,TREASURY WINE ESTATES,12436,2016-10-02,2016-10-11,2016-10-20,2016-12-03,6.09,2,12.18,2,750.0
25_CAERSHIRE_6479,25,6479,Clos du Bois Chard,750mL,1392,CONSTELLATION BRANDS INC,9523,2016-03-27,2016-04-04,2016-04-17,2016-05-18,5.95,10,59.5,2,750.0
48_NORFOLK_3348,48,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC,12988,2016-11-09,2016-11-17,2016-11-25,2016-12-22,22.38,6,134.28,1,1750.0
33_HORNSEY_18568,33,18568,A by Acacia Unoaked Chard Ca,750mL,1590,DIAGEO CHATEAU ESTATE WINES,8484,2016-01-15,2016-01-21,2016-01-31,2016-03-08,6.89,12,82.68,2,750.0
73_DONCASTER_19847,73,19847,Nanna's Short Cake Znfdl,750mL,10754,PERFECTA WINES,12069,2016-09-12,2016-09-23,2016-09-26,2016-10-29,11.1,12,133.2,2,750.0
23_ARBINGTON_31454,23,31454,Foxhorn SE Chard Australia,1.5L,9815,WINE GROUP INC,10694,2016-06-15,2016-06-23,2016-07-01,2016-08-10,4.79,8,38.32,2,1500.0
38_GOULCREST_8149,38,8149,Sebastiani Cab Svgn Sonoma,750mL,4425,MARTIGNETTI COMPANIES,13214,2016-11-24,2016-11-29,2016-12-13,2017-01-07,11.25,12,135.0,2,750.0
6_GOULCREST_22569,6,22569,Bota Box Svgn Bl,3L,2242,DELICATO VINEYARDS INC,11315,2016-07-22,2016-07-27,2016-08-03,2016-09-04,11.72,3,35.16,2,3000.0
15_WANBORNE_3826,15,3826,Skyy Vodka,1.75L,11567,CAMPARI AMERICA,11279,2016-07-20,2016-07-25,2016-08-09,2016-09-01,15.74,2,31.48,1,1750.0
76_DONCASTER_4277,76,4277,Bacardi Limon Rum,375mL,480,BACARDI USA INC,13641,2016-12-23,2016-12-27,2017-01-10,2017-02-14,4.68,9,42.12,1,375.0
30_CULCHETH_7293,30,7293,Chi Chi's Skinny Margarita,1.75L,660,SAZERAC NORTH AMERICA INC.,11515,2016-08-05,2016-08-08,2016-08-22,2016-09-26,5.96,6,35.76,1,1750.0
68_SOLARIS_31160,68,31160,Monsanto Chianti Clsc RSV,750mL,9552,M S WALKER INC,10383,2016-05-25,2016-06-02,2016-06-10,2016-07-16,13.24,12,158.88,2,750.0
25_CAERSHIRE_6349,25,6349,Glen Ellen Chard RSV,1.5L,9815,WINE GROUP INC,8651,2016-01-26,2016-02-03,2016-02-14,2016-03-15,4.63,17,78.71,2,1500.0
74_PAENTMARWY_18733,74,18733,Antinori Villa Chianti Class,750mL,8673,STE MICHELLE WINE ESTATES,9979,2016-04-27,2016-05-04,2016-05-11,2016-06-22,18.49,6,110.94,2,750.0
60_IRRAGIN_3534,60,3534,Milagro Silver Tequila,750mL,3664,WILLIAM GRANT & SONS INC,8233,2015-12-28,2016-01-04,2016-01-14,2016-02-12,18.17,6,109.02,1,750.0
73_DONCASTER_8451,73,8451,Cruzan Aged Dark Rum,1.75L,12546,JIM BEAM BRANDS COMPANY,13557,2016-12-18,2016-12-27,2017-01-04,2017-02-17,12.59,10,125.9,1,1750.0
66_EANVERNESS_3423,66,3423,Beefeater,1.75L,17035,PERNOD RICARD USA,11372,2016-07-26,2016-08-03,2016-08-12,2016-09-12,21.25,45,956.25,1,1750.0
75_BARNCOMBE_16794,75,16794,Freakshow Cab Svgn,750mL,4425,MARTIGNETTI COMPANIES,11303,2016-07-21,2016-07-28,2016-08-02,2016-09-18,10.94,12,131.28,2,750.0
1_HARDERSFIELD_24779,1,24779,Straccali Chianti,1.5L,6785,PALM BAY INTERNATIONAL INC,13024,2016-11-11,2016-11-15,2016-11-22,2017-01-03,6.84,4,27.36,2,1500.0
34_PITMERDEN_5382,34,5382,Ice 101 Peppermint Schnapps,750mL,8004,SAZERAC CO INC,10557,2016-06-06,2016-06-13,2016-06-26,2016-07-27,9.44,12,113.28,1,750.0
56_BEGGAR'S HOLE_3228,56,3228,Ciroc Mango Vodka,50mL,3960,DIAGEO NORTH AMERICA INC,12149,2016-09-18,2016-09-29,2016-10-08,2016-11-07,1.55,57,88.35,1,50.0
34_PITMERDEN_20731,34,20731,Villa Jolanda Strwby Moscato,750mL,7153,PINE STATE TRADING CO,8226,2015-12-28,2016-01-04,2016-01-14,2016-02-16,5.95,12,71.4,2,750.0
33_HORNSEY_3201,33,3201,Plymouth Gin,750mL,17035,PERNOD RICARD USA,8315,2016-01-03,2016-01-14,2016-01-25,2016-02-25,21.96,5,109.8,1,750.0
7_STANMORE_7345,7,7345,M & R Asti,750mL,480,BACARDI USA INC,9847,2016-04-19,2016-04-29,2016-05-07,2016-06-13,6.75,12,81.0,2,750.0
39_EASTHALLOW_13430,39,13430,Agua de Piedra Malbec Selccn,750mL,7153,PINE STATE TRADING CO,9647,2016-04-04,2016-04-14,2016-04-25,2016-05-24,5.91,12,70.92,2,750.0
15_WANBORNE_32675,15,32675,Blackstone Cab Svgn Cal,750mL,1392,CONSTELLATION BRANDS INC,11459,2016-08-02,2016-08-11,2016-08-22,2016-09-15,4.57,24,109.68,2,750.0
26_KNIFE'S EDGE_5444,26,5444,E & J Superior RSV VSOP,1.75L,3252,E & J GALLO WINERY,11248,2016-07-18,2016-07-29,2016-08-09,2016-09-01,14.49,6,86.94,1,1750.0
74_PAENTMARWY_840,74,840,Bols Peach Flavored Brandy,Liter,6213,MHW LTD,10821,2016-06-24,2016-06-27,2016-07-07,2016-08-14,8.79,12,105.48,1,
55_DRY GULCH_38888,55,38888,Justin Cab Svgn Paso Robles,750mL,9552,M S WALKER INC,13059,2016-11-14,2016-11-23,2016-11-29,2017-01-05,16.88,6,101.28,2,750.0
6_GOULCREST_44494,6,44494,Smoking Loon Pnt Grigio Cal,750mL,9552,M S WALKER INC,11367,2016-07-26,2016-08-03,2016-08-13,2016-09-19,4.5,10,45.0,2,750.0
43_WOLFORD_8262,43,8262,Metcalfe's Vermont Maple,750mL,9165,ULTRA BEVERAGE COMPANY LLP,13604,2016-12-20,2016-12-28,2017-01-03,2017-02-02,15.82,6,94.92,1,750.0
21_BALERNO_2956,21,2956,Vat 69 Gold,1.75L,3960,DIAGEO NORTH AMERICA INC,13320,2016-12-02,2016-12-08,2016-12-19,2017-01-13,10.71,6,64.26,1,1750.0
76_DONCASTER_3876,76,3876,Smirnoff 80 Proof,1.75L,3960,DIAGEO NORTH AMERICA INC,8575,2016-01-21,2016-01-27,2016-02-03,2016-03-06,13.95,2,27.9,1,1750.0
51_ABERDEEN_7198,51,7198,New Amsterdam Pineapple Vdka,750mL,3252,E & J GALLO WINERY,12016,2016-09-08,2016-09-14,2016-09-26,2016-11-01,7.4,11,81.4,1,750.0
67_EANVERNESS_1220,67,1220,Woodford Reserve Bourbon,750mL,1128,BROWN-FORMAN CORP,12788,2016-10-27,2016-11-04,2016-11-12,2016-12-10,21.89,5,109.45,1,750.0
34_PITMERDEN_4798,34,4798,Sambuca Romana Liqueur,50mL,3960,DIAGEO NORTH AMERICA INC,11589,2016-08-10,2016-08-17,2016-08-30,2016-10-05,1.54,112,172.48,1,50.0
38_GOULCREST_515,38,515,Hirsch Selection Bourbon,750mL,9165,ULTRA BEVERAGE COMPANY LLP,10947,2016-06-27,2016-07-06,2016-07-14,2016-08-26,25.36,6,152.16,1,750.0
58_HARTLEPOOL_15094,58,15094,Butter Chard,750mL,9165,ULTRA BEVERAGE COMPANY LLP,9654,2016-04-04,2016-04-14,2016-04-24,2016-06-01,9.08,12,108.96,2,750.0
27_MOUNTMEND_4226,27,4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC,11859,2016-08-30,2016-09-08,2016-09-20,2016-10-22,7.68,9,69.12,1,750.0
50_MOUNTMEND_8627,50,8627,Jadot Beaujolais Villages,750mL,4692,KOBRAND CORPORATION,11268,2016-07-19,2016-07-27,2016-08-06,2016-09-02,5.47,12,65.64,2,750.0
76_DONCASTER_28947,76,28947,R M Woodbridge Merlot Cal,1.5L,1392,CONSTELLATION BRANDS INC,10986,2016-06-30,2016-07-05,2016-07-17,2016-08-27,5.91,14,82.74,2,1500.0
12_LEESIDE_8023,12,8023,DeKuyper Triple Sec,750mL,12546,JIM BEAM BRANDS COMPANY,12816,2016-10-28,2016-11-01,2016-11-12,2016-12-10,3.28,12,39.36,1,750.0
9_BLACKPOOL_41072,9,41072,Angeline Pnt Nr Rsv,750mL,9552,M S WALKER INC,13379,2016-12-06,2016-12-12,2016-12-23,2017-01-22,8.16,11,89.76,2,750.0
34_PITMERDEN_4817,34,4817,Skyy Infusions TX Grapefruit,750mL,11567,CAMPARI AMERICA,10276,2016-05-18,2016-05-23,2016-06-06,2016-07-03,7.8,36,280.8,1,750.0
43_WOLFORD_3276,43,3276,Gordons London Dry,1.75L,3960,DIAGEO NORTH AMERICA INC,9919,2016-04-24,2016-05-04,2016-05-10,2016-06-11,9.62,5,48.1,1,1750.0
30_CULCHETH_5232,30,5232,DeKuyper Buttershots Schnaps,1.75L,12546,JIM BEAM BRANDS COMPANY,13557,2016-12-18,2016-12-29,2017-01-04,2017-02-17,10.71,3,32.13,1,1750.0
34_PITMERDEN_5689,34,5689,Villa Massa Limoncello,750mL,4425,MARTIGNETTI COMPANIES,10193,2016-05-12,2016-05-19,2016-05-29,2016-07-09,14.84,6,89.04,1,750.0
12_LEESIDE_3768,12,3768,Jenkins Vodka,750mL,9552,M S WALKER INC,9049,2016-02-23,2016-03-03,2016-03-11,2016-04-13,3.62,12,43.44,1,750.0
22_SHARNWICK_3834,22,3834,Skyy Vodka,750mL,11567,CAMPARI AMERICA,11428,2016-07-31,2016-08-11,2016-08-16,2016-10-02,10.23,12,122.76,1,750.0
79_BALLYMENA_7535,79,7535,Gekkeikan Sake,750mL,8320,SHAW ROSS INT L IMP LTD,8666,2016-01-27,2016-02-02,2016-02-16,2016-03-21,4.44,12,53.28,1,750.0
68_SOLARIS_450,68,450,Vincent Van Gogh Double Esp,750mL,4425,MARTIGNETTI COMPANIES,8426,2016-01-11,2016-01-20,2016-01-25,2016-03-13,19.52,1,19.52,1,750.0
4_EANVERNESS_4673,4,4673,Hennessy VS Cognac,1.75L,8112,MOET HENNESSY USA INC,12384,2016-09-29,2016-10-04,2016-10-17,2016-11-19,46.66,6,279.96,1,1750.0
44_PORTHCRAWL_39523,44,39523,Cloudy Bay Svgn Bl Marlboro,750mL,8112,MOET HENNESSY USA INC,9684,2016-04-06,2016-04-15,2016-04-23,2016-05-25,15.53,12,186.36,2,750.0
31_HORNSEY_40337,31,40337,Da Vinci Chianti Tuscany,750mL,3252,E & J GALLO WINERY,8722,2016-02-01,2016-02-11,2016-02-15,2016-03-26,6.57,12,78.84,2,750.0
66_EANVERNESS_8500,66,8500,Stolichnaya Chocolat Kokonut,750mL,8664,"STOLI GROUP,(USA) LLC",12533,2016-10-09,2016-10-18,2016-10-29,2016-11-29,6.28,19,119.32,1,750.0
23_ARBINGTON_33035,23,33035,Cape Indaba Chard S Africa,750mL,9552,M S WALKER INC,13614,2016-12-21,2016-12-27,2017-01-07,2017-02-17,5.88,12,70.56,2,750.0
10_HORNSEY_17345,10,17345,Bogle Essential Red,750mL,4425,MARTIGNETTI COMPANIES,13091,2016-11-16,2016-11-23,2016-12-05,2017-01-11,6.01,11,66.11,2,750.0
61_AETHELNEY_5254,61,5254,DeKuyper Buttershots Schnpps,750mL,12546,JIM BEAM BRANDS COMPANY,11705,2016-08-18,2016-08-24,2016-09-04,2016-10-16,7.35,12,88.2,1,750.0
54_GUTHRAM_7221,54,7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC,13238,2016-11-27,2016-12-09,2016-12-20,2017-01-23,6.86,5,34.3,2,1500.0
15_WANBORNE_31465,15,31465,Franzia Tap Chard,5L,9815,WINE GROUP INC,10256,2016-05-16,2016-05-24,2016-06-05,2016-07-12,10.38,7,72.66,2,5000.0
27_MOUNTMEND_1892,27,1892,Yukon Jack,50mL,3960,DIAGEO NORTH AMERICA INC,9302,2016-03-11,2016-03-17,2016-03-28,2016-04-30,0.72,72,51.84,1,50.0
12_LEESIDE_3804,12,3804,Svedka Vodka,750mL,1392,CONSTELLATION BRANDS INC,11883,2016-08-31,2016-09-06,2016-09-14,2016-10-30,7.63,11,83.93,1,750.0
41_LARNWICK_8823,41,8823,Leroux Apricot Brandy,750mL,12546,JIM BEAM BRANDS COMPANY,13421,2016-12-08,2016-12-14,2016-12-24,2017-01-21,5.42,12,65.04,1,750.0
30_CULCHETH_38457,30,38457,Smoking Loon Pnt Nr,750mL,9552,M S WALKER INC,11756,2016-08-22,2016-09-01,2016-09-13,2016-10-08,4.59,58,266.22,2,750.0
47_PELLA'S WISH_8053,47,8053,Seagrams 7 Crown,50mL,3960,DIAGEO NORTH AMERICA INC,13320,2016-12-02,2016-12-09,2016-12-19,2017-01-13,0.75,110,82.5,1,50.0
50_MOUNTMEND_3794,50,3794,Cabo Wabo Reposado Tequila,750mL,11567,CAMPARI AMERICA,11545,2016-08-08,2016-08-17,2016-08-29,2016-10-07,27.77,24,666.48,1,750.0
73_DONCASTER_28775,73,28775,C K Mondavi Merlot,1.5L,2000,SOUTHERN WINE & SPIRITS NE,13365,2016-12-05,2016-12-12,2016-12-25,2017-01-31,7.58,6,45.48,2,1500.0
61_AETHELNEY_35664,61,35664,Redwood Creek Cab Svgn Cal,1.5L,3252,E & J GALLO WINERY,11074,2016-07-05,2016-07-15,2016-07-18,2016-09-03,6.5,6,39.0,2,1500.0
58_HARTLEPOOL_10421,58,10421,Barefoot Moscato Cal,1.5L,3252,E & J GALLO WINERY,11431,2016-07-31,2016-08-11,2016-08-21,2016-10-01,5.9,6,35.4,2,1500.0
31_HORNSEY_39593,31,39593,Redwood Creek Pnt Nr Cal,1.5L,3252,E & J GALLO WINERY,12395,2016-09-30,2016-10-03,2016-10-15,2016-11-18,6.33,6,37.98,2,1500.0
9_BLACKPOOL_62,9,62,Herradura Silver Tequila,750mL,1128,BROWN-FORMAN CORP,10971,2016-06-29,2016-07-05,2016-07-11,2016-08-11,28.67,6,172.02,1,750.0
6_GOULCREST_599,6,599,Stolichnaya Razberi,Liter,8664,"STOLI GROUP,(USA) LLC",10076,2016-05-04,2016-05-13,2016-05-21,2016-07-02,17.03,9,153.27,1,
38_GOULCREST_3804,38,3804,Svedka Vodka,750mL,1392,CONSTELLATION BRANDS INC,10736,2016-06-19,2016-06-30,2016-07-08,2016-08-20,7.63,7,53.41,1,750.0
58_HARTLEPOOL_3039,58,3039,Stoli Salted Karamel,750mL,8664,"STOLI GROUP,(USA) LLC",13200,2016-11-23,2016-11-29,2016-12-09,2017-01-15,13.38,12,160.56,1,750.0
11_CARDEND_32924,11,32924,Silverado Cab Svgn Napa,750mL,4425,MARTIGNETTI COMPANIES,11614,2016-08-11,2016-08-16,2016-08-22,2016-09-22,27.51,12,330.12,2,750.0
8_ALNERWICK_7948,8,7948,Bayou Silver Rum,50mL,8664,"STOLI GROUP,(USA) LLC",11503,2016-08-04,2016-08-09,2016-08-23,2016-09-24,0.73,72,52.56,1,50.0
37_PAETHSMOUTH_2589,37,2589,Jameson Irish Whiskey,1.75L,17035,PERNOD RICARD USA,13477,2016-12-12,2016-12-23,2017-01-03,2017-02-02,30.76,6,184.56,1,1750.0
72_HARDERSFIELD_8462,72,8462,Frangelico Hazelnut Liqueur,750mL,11567,CAMPARI AMERICA,12621,2016-10-16,2016-10-26,2016-11-03,2016-12-07,15.82,36,569.52,1,750.0
9_BLACKPOOL_8036,9,8036,Livingston Chablis Cal,3L,3252,E & J GALLO WINERY,10396,2016-05-26,2016-06-01,2016-06-10,2016-07-10,8.27,3,24.81,2,3000.0
41_LARNWICK_7978,41,7978,M & R X Dry Vermouth,750mL,480,BACARDI USA INC,8288,2016-01-01,2016-01-08,2016-01-19,2016-02-18,3.95,12,47.4,1,750.0
21_BALERNO_6596,21,6596,Kenwood Svgn Bl Sonoma,750mL,17035,PERNOD RICARD USA,9028,2016-02-21,2016-03-03,2016-03-09,2016-04-08,5.97,12,71.64,2,750.0
14_BROMWICH_3745,14,3745,Taaka Vodka Traveler,750mL,8004,SAZERAC CO INC,9077,2016-02-24,2016-03-02,2016-03-11,2016-04-14,3.07,10,30.7,1,750.0
32_MOUNTMEND_3246,32,3246,Bentley's Vodka,1.75L,8004,SAZERAC CO INC,13364,2016-12-05,2016-12-13,2016-12-19,2017-02-01,6.71,4,26.84,1,1750.0
67_EANVERNESS_4522,67,4522,Lairds Apple Jack,750mL,4848,LAIRD & CO,13057,2016-11-14,2016-11-25,2016-11-28,2017-01-11,10.06,12,120.72,1,750.0
70_KELD_903,70,903,Bombay Sapphire Gin,Liter,480,BACARDI USA INC,12040,2016-09-11,2016-09-20,2016-10-03,2016-10-27,18.79,12,225.48,1,
60_IRRAGIN_38502,60,38502,Ruffino Lumina Pnt Grigio,750mL,1392,CONSTELLATION BRANDS INC,10291,2016-05-19,2016-05-27,2016-06-01,2016-07-12,4.57,9,41.13,2,750.0
73_DONCASTER_24086,73,24086,Hess Select Chard,750mL,4425,MARTIGNETTI COMPANIES,11053,2016-07-04,2016-07-16,2016-07-25,2016-08-22,7.14,12,85.68,2,750.0
41_LARNWICK_46202,41,46202,Yellow Tail Pnt Grigio Ausl,1.5L,4425,MARTIGNETTI COMPANIES,11053,2016-07-04,2016-07-15,2016-07-25,2016-08-22,6.05,9,54.45,2,1500.0
14_BROMWICH_39348,14,39348,Sterling Vintners Cltn Pnt N,750mL,1590,DIAGEO CHATEAU ESTATE WINES,11492,2016-08-04,2016-08-08,2016-08-18,2016-09-24,6.5,12,78.0,2,750.0
75_BARNCOMBE_8205,75,8205,Frangelico Hazelnut Liqueur,50mL,11567,CAMPARI AMERICA,8269,2015-12-31,2016-01-05,2016-01-19,2016-02-19,1.53,96,146.88,1,50.0
21_BALERNO_2753,21,2753,Johnnie Walker Black Label,1.75L,3960,DIAGEO NORTH AMERICA INC,9199,2016-03-04,2016-03-08,2016-03-21,2016-04-29,44.77,6,268.62,1,1750.0
10_HORNSEY_3687,10,3687,Fleischmanns Royal Traveler,750mL,660,SAZERAC NORTH AMERICA INC.,11515,2016-08-05,2016-08-11,2016-08-22,2016-09-26,3.84,6,23.04,1,750.0
55_DRY GULCH_8628,55,8628,Jadot Macon Villages Blanc,750mL,4692,KOBRAND CORPORATION,12709,2016-10-21,2016-10-26,2016-11-04,2016-12-09,5.95,12,71.4,2,750.0
76_DONCASTER_4181,76,4181,Calypso Spiced Rum,1.75L,660,SAZERAC NORTH AMERICA INC.,11852,2016-08-29,2016-09-07,2016-09-12,2016-10-26,9.37,4,37.48,1,1750.0
60_IRRAGIN_858,60,858,Canadian Club,Liter,12546,JIM BEAM BRANDS COMPANY,13056,2016-11-14,2016-11-25,2016-11-28,2017-01-15,8.95,10,89.5,1,
38_GOULCREST_18901,38,18901,Anderra Svgn Bl,750mL,1392,CONSTELLATION BRANDS INC,11703,2016-08-18,2016-08-23,2016-09-03,2016-10-01,6.07,12,72.84,2,750.0
40_BULLMAR_40097,40,40097,Black Box Chard,3L,1392,CONSTELLATION BRANDS INC,10552,2016-06-06,2016-06-16,2016-06-22,2016-07-27,10.59,5,52.95,2,3000.0
76_DONCASTER_5391,76,5391,Kamora Coffee,1.75L,12546,JIM BEAM BRANDS COMPANY,8503,2016-01-17,2016-01-25,2016-02-02,2016-03-08,12.02,4,48.08,1,1750.0
67_EANVERNESS_14672,67,14672,Duckhorn Decoy Cab Svgn,750mL,4425,MARTIGNETTI COMPANIES,13091,2016-11-16,2016-11-25,2016-12-05,2017-01-11,11.61,19,220.59,2,750.0
76_DONCASTER_3348,76,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC,9738,2016-04-11,2016-04-18,2016-04-30,2016-05-26,22.38,12,268.56,1,1750.0
38_GOULCREST_3763,38,3763,Patron Anejo Tequila,375mL,9165,ULTRA BEVERAGE COMPANY LLP,13286,2016-11-29,2016-12-09,2016-12-18,2017-01-13,20.28,8,162.24,1,375.0
68_SOLARIS_3728,68,3728,Absolut Citron,1.75L,17035,PERNOD RICARD USA,11891,2016-08-31,2016-09-09,2016-09-13,2016-10-15,18.93,4,75.72,1,1750.0
66_EANVERNESS_3329,66,3329,Seagrams Extra Smooth Vodka,1.75L,9165,ULTRA BEVERAGE COMPANY LLP,9654,2016-04-04,2016-04-14,2016-04-24,2016-06-01,10.84,6,65.04,1,1750.0
76_DONCASTER_17867,76,17867,Beringer Classic Wh Zin Mosc,750mL,9819,TREASURY WINE ESTATES,13332,2016-12-02,2016-12-05,2016-12-12,2017-01-28,3.22,15,48.3,2,750.0
49_GARIGILL_2443,49,2443,Seagrams VO,1.75L,3960,DIAGEO NORTH AMERICA INC,8310,2016-01-03,2016-01-12,2016-01-19,2016-02-23,13.48,10,134.8,1,1750.0
7_STANMORE_40096,7,40096,Black Box Cab Svgn,3L,1392,CONSTELLATION BRANDS INC,10448,2016-05-30,2016-06-07,2016-06-13,2016-07-27,10.52,5,52.6,2,3000.0
7_STANMORE_16241,7,16241,Domino Merlot,750mL,2242,DELICATO VINEYARDS INC,10432,2016-05-29,2016-06-07,2016-06-21,2016-07-19,3.3,12,39.6,2,750.0
34_PITMERDEN_3736,34,3736,Smirnoff Cherry Vodka,750mL,3960,DIAGEO NORTH AMERICA INC,8310,2016-01-03,2016-01-15,2016-01-19,2016-02-23,8.2,10,82.0,1,750.0
10_HORNSEY_7374,10,7374,New Amsterdam Mango Vodka,750mL,3252,E & J GALLO WINERY,10953,2016-06-28,2016-07-08,2016-07-13,2016-08-14,6.86,9,61.74,1,750.0
16_LUNDY_18107,16,18107,Barefoot Cellars Pink Moscat,750mL,3252,E & J GALLO WINERY,13033,2016-11-13,2016-11-27,2016-12-03,2016-12-31,3.22,12,38.64,2,750.0
56_BEGGAR'S HOLE_1746,56,1746,Tomatin 12 Yr Old Scotch,750mL,9206,PHILLIPS PRODUCTS CO.,11400,2016-07-28,2016-08-03,2016-08-09,2016-09-18,19.99,6,119.94,1,750.0
9_BLACKPOOL_8691,9,8691,Jose Cuervo Especial,750mL,7245,PROXIMO SPIRITS INC.,8664,2016-01-27,2016-02-01,2016-02-14,2016-03-10,11.9,12,142.8,1,750.0
76_DONCASTER_4762,76,4762,Hartley Brandy VS,750mL,8004,SAZERAC CO INC,12476,2016-10-05,2016-10-13,2016-10-24,2016-12-03,5.03,11,55.33,1,750.0
44_PORTHCRAWL_6581,44,6581,Ch Ste Michelle Merlot Colum,750mL,8673,STE MICHELLE WINE ESTATES,11535,2016-08-07,2016-08-19,2016-08-22,2016-09-27,7.86,8,62.88,2,750.0
38_GOULCREST_23712,38,23712,Bell'Agio Chianti Flask,750mL,516,BANFI PRODUCTS CORP,12989,2016-11-09,2016-11-18,2016-11-22,2016-12-28,6.8,11,74.8,2,750.0
