inventoryid,store,city,brand,description,size,onhand,price,startdate
1_HARDERSFIELD_1595,1,HARDERSFIELD,1595,Gentleman Jack,375mL,0,15.99,2016-01-01
1_HARDERSFIELD_1623,1,HARDERSFIELD,1623,Bulleit 95 Rye,375mL,2,12.99,2016-01-01
1_HARDERSFIELD_1634,1,HARDERSFIELD,1634,The Famous Grouse,1.75L,15,27.99,2016-01-01
1_HARDERSFIELD_1637,1,HARDERSFIELD,1637,Fleischmanns Preferred,1.75L,8,10.99,2016-01-01
1_HARDERSFIELD_1639,1,HARDERSFIELD,1639,The Famous Grouse,750mL,19,19.99,2016-01-01
1_HARDERSFIELD_1657,1,HARDERSFIELD,1657,Dalwhinnie Distillers Edtion,750mL,10,69.99,2016-01-01
1_HARDERSFIELD_1672,1,HARDERSFIELD,1672,Hpnotiq Sparkle,750mL,9,19.99,2016-01-01
1_HARDERSFIELD_1692,1,HARDERSFIELD,1692,Everclear 151,750mL,11,18.49,2016-01-01
1_HARDERSFIELD_1715,1,HARDERSFIELD,1715,Ole Smoky Apple Pie Moonshne,750mL,9,18.99,2016-01-01
1_HARDERSFIELD_1725,1,HARDERSFIELD,1725,Ole Smoky White Lightnin',750mL,7,18.99,2016-01-01
1_HARDERSFIELD_1727,1,HARDERSFIELD,1727,West Cork Irish Whiskey,750mL,9,21.99,2016-01-01
1_HARDERSFIELD_1728,1,HARDERSFIELD,1728,Aberlour 16 Year Old Single,750mL,7,54.99,2016-01-01
1_HARDERSFIELD_1734,1,HARDERSFIELD,1734,Duggans Dew O Kirkintilloch,1.75L,4,23.49,2016-01-01
1_HARDERSFIELD_1737,1,HARDERSFIELD,1737,Makers Mark,1.75L,5,48.99,2016-01-01
1_HARDERSFIELD_1738,1,HARDERSFIELD,1738,Ole Smoky Moonshine Cherries,750mL,1,18.99,2016-01-01
1_HARDERSFIELD_1740,1,HARDERSFIELD,1740,Glenkinchie 12 YO Scotch,750mL,4,57.99,2016-01-01
1_HARDERSFIELD_1744,1,HARDERSFIELD,1744,Old Forester 100 Bourbon,750mL,4,21.99,2016-01-01
1_HARDERSFIELD_1746,1,HARDERSFIELD,1746,Tomatin 12 Yr Old Scotch,750mL,8,26.99,2016-01-01
1_HARDERSFIELD_1748,1,HARDERSFIELD,1748,William Grant Scotch,750mL,16,13.99,2016-01-01
1_HARDERSFIELD_1758,1,HARDERSFIELD,1758,Aberlour Glenlivet 12 Yr,750mL,8,39.99,2016-01-01
1_HARDERSFIELD_1760,1,HARDERSFIELD,1760,William Grant Scotch,1.75L,10,25.99,2016-01-01
1_HARDERSFIELD_1767,1,HARDERSFIELD,1767,Buffalo Trace Bourbon,750mL,4,24.99,2016-01-01
1_HARDERSFIELD_1770,1,HARDERSFIELD,1770,Jack Daniels Tennessee Fire,1.75L,17,36.99,2016-01-01
1_HARDERSFIELD_1771,1,HARDERSFIELD,1771,Jack Daniels Tennessee Fire,50mL,0,2.99,2016-01-01
1_HARDERSFIELD_1781,1,HARDERSFIELD,1781,Wild Turkey Russell's Rsv,750mL,29,49.99,2016-01-01
1_HARDERSFIELD_1789,1,HARDERSFIELD,1789,Jack Daniels Tennesse Fire,750mL,56,25.99,2016-01-01
1_HARDERSFIELD_1798,1,HARDERSFIELD,1798,Talisker Distillers Edition,750mL,6,69.99,2016-01-01
1_HARDERSFIELD_1817,1,HARDERSFIELD,1817,Irishman Founders RSV Whisky,750mL,4,22.99,2016-01-01
1_HARDERSFIELD_1835,1,HARDERSFIELD,1835,Knappogue Castle Irish Whsky,750mL,9,31.99,2016-01-01
1_HARDERSFIELD_1836,1,HARDERSFIELD,1836,Tyrconnell Irish Whiskey,750mL,4,29.99,2016-01-01
1_HARDERSFIELD_1845,1,HARDERSFIELD,1845,Cluny Scotch Whiskey,1.75L,7,14.99,2016-01-01
1_HARDERSFIELD_1848,1,HARDERSFIELD,1848,Oban Little Bay Single Malt,750mL,3,62.99,2016-01-01
1_HARDERSFIELD_1860,1,HARDERSFIELD,1860,Bruichladdich Islay Barley,750mL,7,64.99,2016-01-01
1_HARDERSFIELD_1862,1,HARDERSFIELD,1862,John Power Irish Whiskey,750mL,15,25.99,2016-01-01
1_HARDERSFIELD_1867,1,HARDERSFIELD,1867,Jack Daniels Tennessee Honey,50mL,36,2.99,2016-01-01
1_HARDERSFIELD_1868,1,HARDERSFIELD,1868,Lagavulin Single Malt 16-Yr,750mL,6,69.99,2016-01-01
1_HARDERSFIELD_1869,1,HARDERSFIELD,1869,Oban 14-Yr Single Malt,750mL,6,57.99,2016-01-01
1_HARDERSFIELD_1870,1,HARDERSFIELD,1870,Oban Distiller's Edition,750mL,3,79.99,2016-01-01
1_HARDERSFIELD_1874,1,HARDERSFIELD,1874,Bruichladdich Octomore 61,750mL,3,109.99,2016-01-01
1_HARDERSFIELD_1875,1,HARDERSFIELD,1875,Bushmills Black Bush,750mL,14,28.99,2016-01-01
1_HARDERSFIELD_1876,1,HARDERSFIELD,1876,Midleton Rare Irish Whiskey,750mL,0,149.99,2016-01-01
1_HARDERSFIELD_1878,1,HARDERSFIELD,1878,Jim Beam White BBQ Sauce Pak,750mL,3,16.49,2016-01-01
1_HARDERSFIELD_1880,1,HARDERSFIELD,1880,The Glenlivet Nadurra,750mL,22,69.99,2016-01-01
1_HARDERSFIELD_1883,1,HARDERSFIELD,1883,Seagrams 7 Crown,1.75L,32,17.99,2016-01-01
1_HARDERSFIELD_1886,1,HARDERSFIELD,1886,Seagrams 7 Crown,750mL,0,10.99,2016-01-01
1_HARDERSFIELD_1892,1,HARDERSFIELD,1892,Yukon Jack,50mL,92,0.99,2016-01-01
1_HARDERSFIELD_1893,1,HARDERSFIELD,1893,Port Charlotte Scotch Barley,750mL,3,59.99,2016-01-01
1_HARDERSFIELD_1896,1,HARDERSFIELD,1896,The Glenlivet 18 Yr Single,750mL,20,99.99,2016-01-01
1_HARDERSFIELD_1920,1,HARDERSFIELD,1920,Bowman Brothers Small Batch,750mL,0,29.99,2016-01-01
1_HARDERSFIELD_1921,1,HARDERSFIELD,1921,Glenfiddich Special Rsv 12,1.75L,6,67.99,2016-01-01
1_HARDERSFIELD_1927,1,HARDERSFIELD,1927,"Jack Daniels ""Barrel Proof""",750mL,0,69.99,2016-01-01
1_HARDERSFIELD_1955,1,HARDERSFIELD,1955,Jack Daniels Tennessee Honey,375mL,5,12.99,2016-01-01
1_HARDERSFIELD_1956,1,HARDERSFIELD,1956,Balvenie 12 Yr Doublewood S,750mL,1,56.99,2016-01-01
1_HARDERSFIELD_1961,1,HARDERSFIELD,1961,Everclear 151,1.75L,3,32.99,2016-01-01
1_HARDERSFIELD_1962,1,HARDERSFIELD,1962,Jim Beam Apple,750mL,0,13.99,2016-01-01
1_HARDERSFIELD_1964,1,HARDERSFIELD,1964,Jim Beam Single Barrel,750mL,8,29.99,2016-01-01
1_HARDERSFIELD_1982,1,HARDERSFIELD,1982,Herradura Silver Tequila,375mL,0,21.99,2016-01-01
1_HARDERSFIELD_1987,1,HARDERSFIELD,1987,White Mountain Moonshine,375mL,11,18.99,2016-01-01
1_HARDERSFIELD_1997,1,HARDERSFIELD,1997,Charles Goodnight Bourbon,750mL,10,42.99,2016-01-01
1_HARDERSFIELD_1999,1,HARDERSFIELD,1999,Old Forrester 1870 Craft,750mL,9,44.99,2016-01-01
1_HARDERSFIELD_2008,1,HARDERSFIELD,2008,Rebel Yell Small Batch Rye,750mL,6,20.99,2016-01-01
1_HARDERSFIELD_2015,1,HARDERSFIELD,2015,Jack Daniels Tennessee Honey,750mL,66,26.99,2016-01-01
1_HARDERSFIELD_2016,1,HARDERSFIELD,2016,Ardbeg Perpetuum Single Malt,750mL,5,99.99,2016-01-01
1_HARDERSFIELD_2017,1,HARDERSFIELD,2017,Redbreast Irish Whiskey,750mL,0,59.99,2016-01-01
1_HARDERSFIELD_2026,1,HARDERSFIELD,2026,Camarena Silver Tequila,750mL,39,18.99,2016-01-01
1_HARDERSFIELD_2029,1,HARDERSFIELD,2029,Springbank 10 Yr Scotch,750mL,8,73.99,2016-01-01
1_HARDERSFIELD_2030,1,HARDERSFIELD,2030,Glen Moray 12 Yr Scotch,750mL,16,30.99,2016-01-01
1_HARDERSFIELD_2034,1,HARDERSFIELD,2034,Glendalough Double Barrel,750mL,4,28.99,2016-01-01
1_HARDERSFIELD_2035,1,HARDERSFIELD,2035,Glen Moray Classic Scotch,750mL,6,19.99,2016-01-01
1_HARDERSFIELD_2036,1,HARDERSFIELD,2036,Jim Beam Signature Craft Ltd,750mL,0,36.99,2016-01-01
1_HARDERSFIELD_2041,1,HARDERSFIELD,2041,Redbreast 15 Yr Old Irish,750mL,2,89.99,2016-01-01
1_HARDERSFIELD_2043,1,HARDERSFIELD,2043,I.W. Harper Bourbon,750mL,1,29.99,2016-01-01
1_HARDERSFIELD_2045,1,HARDERSFIELD,2045,Monkey 47 Dry Gin,375mL,6,37.99,2016-01-01
1_HARDERSFIELD_2047,1,HARDERSFIELD,2047,Sheep Dip Scotch,750mL,3,34.99,2016-01-01
1_HARDERSFIELD_2050,1,HARDERSFIELD,2050,Tomatin 18 Yr Single Malt,750mL,6,74.99,2016-01-01
1_HARDERSFIELD_2054,1,HARDERSFIELD,2054,Johnnie Walker Select Casks,750mL,2,43.99,2016-01-01
1_HARDERSFIELD_2062,1,HARDERSFIELD,2062,Woodford Reserve Bourbon,1.75L,2,59.99,2016-01-01
1_HARDERSFIELD_2082,1,HARDERSFIELD,2082,Balvenie 15 Yr Sherry Cask,750mL,8,109.99,2016-01-01
1_HARDERSFIELD_2083,1,HARDERSFIELD,2083,Flag Hill Straight Bourbon,750mL,11,39.99,2016-01-01
1_HARDERSFIELD_2085,1,HARDERSFIELD,2085,Jesse James America's Outlaw,750mL,11,13.99,2016-01-01
1_HARDERSFIELD_2086,1,HARDERSFIELD,2086,Jefferson's Rsv Groth Resrve,750mL,0,79.99,2016-01-01
1_HARDERSFIELD_2087,1,HARDERSFIELD,2087,Uncle Val's Peppered Gin,750mL,8,33.99,2016-01-01
1_HARDERSFIELD_2089,1,HARDERSFIELD,2089,Bloom Gin,750mL,8,29.99,2016-01-01
1_HARDERSFIELD_2098,1,HARDERSFIELD,2098,Snake River Stampede Whisky,750mL,10,21.99,2016-01-01
1_HARDERSFIELD_2100,1,HARDERSFIELD,2100,Canadian Regal,1.75L,11,9.99,2016-01-01
1_HARDERSFIELD_2103,1,HARDERSFIELD,2103,Coldcock American Herbal Whi,750mL,4,18.99,2016-01-01
1_HARDERSFIELD_2104,1,HARDERSFIELD,2104,Westland American Sngle Malt,750mL,5,69.99,2016-01-01
1_HARDERSFIELD_2105,1,HARDERSFIELD,2105,Black Velvet Toasted Caramel,750mL,51,9.99,2016-01-01
1_HARDERSFIELD_2112,1,HARDERSFIELD,2112,Cutty Sark Prohibition,750mL,6,26.99,2016-01-01
1_HARDERSFIELD_2114,1,HARDERSFIELD,2114,Black Velvet Canadian Whisky,1.75L,85,12.99,2016-01-01
1_HARDERSFIELD_2116,1,HARDERSFIELD,2116,Sapling Maple Bourbon,750mL,5,37.99,2016-01-01
1_HARDERSFIELD_2117,1,HARDERSFIELD,2117,Black Velvet Traveler,750mL,22,8.99,2016-01-01
1_HARDERSFIELD_2120,1,HARDERSFIELD,2120,Canadian Club,1.75L,39,15.99,2016-01-01
1_HARDERSFIELD_2121,1,HARDERSFIELD,2121,Canadian Club Traveler,750mL,17,10.99,2016-01-01
1_HARDERSFIELD_2122,1,HARDERSFIELD,2122,Canadian Club 1858,750mL,22,10.99,2016-01-01
1_HARDERSFIELD_2123,1,HARDERSFIELD,2123,Angels Envy Rye,750mL,9,79.99,2016-01-01
1_HARDERSFIELD_2125,1,HARDERSFIELD,2125,Glenfiddich 14 Yr Barrel Rsv,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2127,1,HARDERSFIELD,2127,Canadian Ltd,1.75L,85,10.49,2016-01-01
1_HARDERSFIELD_2130,1,HARDERSFIELD,2130,Bully Boy American Whiskey,750mL,5,29.99,2016-01-01
1_HARDERSFIELD_2131,1,HARDERSFIELD,2131,Jack Daniels No 7 Black Trav,375mL,147,12.99,2016-01-01
1_HARDERSFIELD_2132,1,HARDERSFIELD,2132,Lord Calvert Canadian,1.75L,13,12.99,2016-01-01
1_HARDERSFIELD_2136,1,HARDERSFIELD,2136,Elijah Craig 12 Yr Bourbon,750mL,10,28.99,2016-01-01
1_HARDERSFIELD_2142,1,HARDERSFIELD,2142,Bird Dog Apple Whiskey,750mL,9,13.99,2016-01-01
1_HARDERSFIELD_2143,1,HARDERSFIELD,2143,Canadian Mist,1.75L,28,13.99,2016-01-01
1_HARDERSFIELD_2145,1,HARDERSFIELD,2145,WolfHound Irish Whiskey,750mL,10,17.99,2016-01-01
1_HARDERSFIELD_2148,1,HARDERSFIELD,2148,Canadian Mist Traveler,750mL,19,7.99,2016-01-01
1_HARDERSFIELD_2149,1,HARDERSFIELD,2149,Canadian Ltd Traveler,750mL,35,7.99,2016-01-01
1_HARDERSFIELD_2152,1,HARDERSFIELD,2152,New Amsterdam Gin,750mL,16,9.99,2016-01-01
1_HARDERSFIELD_2153,1,HARDERSFIELD,2153,Black Velvet Cinnamon Rush,750mL,12,9.99,2016-01-01
1_HARDERSFIELD_2155,1,HARDERSFIELD,2155,McClelland Islay Single Malt,1.75L,8,37.99,2016-01-01
1_HARDERSFIELD_2156,1,HARDERSFIELD,2156,(RI) 1,750mL,5,34.99,2016-01-01
1_HARDERSFIELD_2158,1,HARDERSFIELD,2158,Sortilege Liqueur,375mL,4,19.99,2016-01-01
1_HARDERSFIELD_2159,1,HARDERSFIELD,2159,Connemara Irish Whiskey,750mL,5,39.99,2016-01-01
1_HARDERSFIELD_2161,1,HARDERSFIELD,2161,Canadian Club Classic,750mL,30,19.99,2016-01-01
1_HARDERSFIELD_2162,1,HARDERSFIELD,2162,Djinn Spirits Gin,750mL,3,31.99,2016-01-01
1_HARDERSFIELD_2163,1,HARDERSFIELD,2163,Sloane's Gin,750mL,9,24.99,2016-01-01
1_HARDERSFIELD_2164,1,HARDERSFIELD,2164,New Amsterdam Gin,1.75L,32,16.99,2016-01-01
1_HARDERSFIELD_2170,1,HARDERSFIELD,2170,Woodford Reserve Bourbon,50mL,52,3.49,2016-01-01
1_HARDERSFIELD_2171,1,HARDERSFIELD,2171,Pike Creek Canadian Whisky,750mL,6,21.99,2016-01-01
1_HARDERSFIELD_2182,1,HARDERSFIELD,2182,McClelland Islay Single Mal,750mL,0,18.99,2016-01-01
1_HARDERSFIELD_2183,1,HARDERSFIELD,2183,McClelland Highland Single,750mL,1,18.99,2016-01-01
1_HARDERSFIELD_2184,1,HARDERSFIELD,2184,Bonnie Rose Orange Peel,750mL,6,19.99,2016-01-01
1_HARDERSFIELD_2186,1,HARDERSFIELD,2186,Label 5 Scotch 12 Yr,750mL,8,31.99,2016-01-01
1_HARDERSFIELD_2189,1,HARDERSFIELD,2189,Cleveland Black Rsv Whiskey,750mL,8,26.99,2016-01-01
1_HARDERSFIELD_2193,1,HARDERSFIELD,2193,Donegal Irish Whiskey,750mL,13,21.99,2016-01-01
1_HARDERSFIELD_2199,1,HARDERSFIELD,2199,St George Terrior Gin,750mL,4,29.99,2016-01-01
1_HARDERSFIELD_2200,1,HARDERSFIELD,2200,Bonnie Rose Spiced Apple,750mL,12,19.99,2016-01-01
1_HARDERSFIELD_2202,1,HARDERSFIELD,2202,Karner Blue Gin,750mL,9,29.99,2016-01-01
1_HARDERSFIELD_2207,1,HARDERSFIELD,2207,Glenrothes Sherry Cask Rsv,750mL,5,59.99,2016-01-01
1_HARDERSFIELD_2209,1,HARDERSFIELD,2209,Pendleton 1910 Rye,750mL,1,29.99,2016-01-01
1_HARDERSFIELD_2212,1,HARDERSFIELD,2212,Canadian Rich & Rare,1.75L,14,10.99,2016-01-01
1_HARDERSFIELD_2214,1,HARDERSFIELD,2214,James E Pepper Bourbon,750mL,7,36.99,2016-01-01
1_HARDERSFIELD_2226,1,HARDERSFIELD,2226,Jim Beam Devils Cut,1.75L,3,36.99,2016-01-01
1_HARDERSFIELD_2230,1,HARDERSFIELD,2230,Egan's Single Malt Irish Wh,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2232,1,HARDERSFIELD,2232,Sipsmith Gin,750mL,6,39.99,2016-01-01
1_HARDERSFIELD_2235,1,HARDERSFIELD,2235,Deanston SM Virgin Oak,750mL,7,26.99,2016-01-01
1_HARDERSFIELD_2237,1,HARDERSFIELD,2237,Edradour 10 Yr Single Malt,750mL,7,56.99,2016-01-01
1_HARDERSFIELD_2238,1,HARDERSFIELD,2238,Aviation American Gin,750mL,4,24.99,2016-01-01
1_HARDERSFIELD_2239,1,HARDERSFIELD,2239,Rebel Yell American Whisky,750mL,2,20.99,2016-01-01
1_HARDERSFIELD_2241,1,HARDERSFIELD,2241,Death's Door Gin,750mL,6,25.99,2016-01-01
1_HARDERSFIELD_2242,1,HARDERSFIELD,2242,Cles des Ducs Armagnac VSOP,750mL,4,30.99,2016-01-01
1_HARDERSFIELD_2245,1,HARDERSFIELD,2245,DUKE Kentucky Bourbon,750mL,3,35.99,2016-01-01
1_HARDERSFIELD_2246,1,HARDERSFIELD,2246,Speyburn Brandan Orach,750mL,7,18.99,2016-01-01
1_HARDERSFIELD_2250,1,HARDERSFIELD,2250,Jack Daniels Family 4 Pk/50m,50mL 4 Pk,0,12.99,2016-01-01
1_HARDERSFIELD_2254,1,HARDERSFIELD,2254,Canadian Club Triple Aged,750mL,39,12.99,2016-01-01
1_HARDERSFIELD_2258,1,HARDERSFIELD,2258,Dewars Special Reserve 12 Yr,375mL,5,12.99,2016-01-01
1_HARDERSFIELD_2262,1,HARDERSFIELD,2262,Black Button Citrus Gin,750mL,5,35.99,2016-01-01
1_HARDERSFIELD_2270,1,HARDERSFIELD,2270,Laphroaig Triple Wood,750mL,4,74.99,2016-01-01
1_HARDERSFIELD_2280,1,HARDERSFIELD,2280,The Botanist Islay Dry Gin,750mL,9,36.99,2016-01-01
1_HARDERSFIELD_2287,1,HARDERSFIELD,2287,Johnnie Walker Double Black,750mL,25,39.99,2016-01-01
1_HARDERSFIELD_2290,1,HARDERSFIELD,2290,Jim Beam Devils Cut Bourbon,750mL,17,23.99,2016-01-01
1_HARDERSFIELD_2292,1,HARDERSFIELD,2292,Glenrothes Single Malt Scot,750mL,1,41.99,2016-01-01
1_HARDERSFIELD_2302,1,HARDERSFIELD,2302,St George Botanivore Gin,750mL,6,29.99,2016-01-01
1_HARDERSFIELD_2310,1,HARDERSFIELD,2310,Ungava Gin,750mL,2,28.99,2016-01-01
1_HARDERSFIELD_2329,1,HARDERSFIELD,2329,Craigellachie 13 Yr Scotch,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2333,1,HARDERSFIELD,2333,Bruichladdich Scotish Barley,750mL,3,49.99,2016-01-01
1_HARDERSFIELD_2339,1,HARDERSFIELD,2339,Alberta Rye Dark Batch,750mL,4,21.99,2016-01-01
1_HARDERSFIELD_2366,1,HARDERSFIELD,2366,Templeton Rye Whiskey,750mL,8,34.99,2016-01-01
1_HARDERSFIELD_2368,1,HARDERSFIELD,2368,Balvenie 17 Yr Doublewood,750mL,4,139.99,2016-01-01
1_HARDERSFIELD_2369,1,HARDERSFIELD,2369,Amrut Fusion Single Malt,750mL,2,64.99,2016-01-01
1_HARDERSFIELD_2373,1,HARDERSFIELD,2373,Jim Beam Maple,750mL,27,13.99,2016-01-01
1_HARDERSFIELD_2374,1,HARDERSFIELD,2374,Tullamore Dew,1.75L,15,39.99,2016-01-01
1_HARDERSFIELD_2382,1,HARDERSFIELD,2382,Opihr London Dry Gin,750mL,2,27.99,2016-01-01
1_HARDERSFIELD_2398,1,HARDERSFIELD,2398,Tullamore Dew,750mL,64,22.99,2016-01-01
1_HARDERSFIELD_2412,1,HARDERSFIELD,2412,JP Wiser's Rye,750mL,6,19.99,2016-01-01
1_HARDERSFIELD_2418,1,HARDERSFIELD,2418,Crown Royal Regal Apple,750mL,11,21.99,2016-01-01
1_HARDERSFIELD_2426,1,HARDERSFIELD,2426,The Glenlivet 15Yr FrenchOak,750mL,8,51.99,2016-01-01
1_HARDERSFIELD_2432,1,HARDERSFIELD,2432,Crown Royal,750mL,54,21.99,2016-01-01
1_HARDERSFIELD_2433,1,HARDERSFIELD,2433,Crown Royal X R Extra Rare,750mL,3,131.99,2016-01-01
1_HARDERSFIELD_2435,1,HARDERSFIELD,2435,Crown Royal RSV,750mL,11,40.99,2016-01-01
1_HARDERSFIELD_2436,1,HARDERSFIELD,2436,Crown Royal,375mL,18,14.99,2016-01-01
1_HARDERSFIELD_2438,1,HARDERSFIELD,2438,Crown Royal Special Reserve,1.75L,10,72.99,2016-01-01
1_HARDERSFIELD_2440,1,HARDERSFIELD,2440,Platte Valley Fireshine,750mL,9,16.99,2016-01-01
1_HARDERSFIELD_2443,1,HARDERSFIELD,2443,Seagrams VO,1.75L,36,20.99,2016-01-01
1_HARDERSFIELD_2445,1,HARDERSFIELD,2445,Seagrams VO,750mL,13,11.99,2016-01-01
1_HARDERSFIELD_2448,1,HARDERSFIELD,2448,Seagrams VO Gold,750mL,1,15.99,2016-01-01
1_HARDERSFIELD_2465,1,HARDERSFIELD,2465,Crown Royal Mini,50mL,23,2.99,2016-01-01
1_HARDERSFIELD_2466,1,HARDERSFIELD,2466,Crown Royal Maple Whisky,1.75L,19,46.99,2016-01-01
1_HARDERSFIELD_2468,1,HARDERSFIELD,2468,Crown Royal Nrth Harvest Rye,750mL,0,27.99,2016-01-01
1_HARDERSFIELD_2476,1,HARDERSFIELD,2476,Crown Royal Maple Whisky,750mL,22,21.99,2016-01-01
1_HARDERSFIELD_2494,1,HARDERSFIELD,2494,Crown Royal Regal Apple,1.75L,9,46.99,2016-01-01
1_HARDERSFIELD_2496,1,HARDERSFIELD,2496,Crown Royal Black,1.75L,9,52.99,2016-01-01
1_HARDERSFIELD_2499,1,HARDERSFIELD,2499,Crown Royal Black,750mL,13,27.99,2016-01-01
1_HARDERSFIELD_2508,1,HARDERSFIELD,2508,Crown Royal No Harvest Rye,50mL,9,1.99,2016-01-01
1_HARDERSFIELD_2512,1,HARDERSFIELD,2512,The Macallan 12 Yr Old,375mL,0,34.99,2016-01-01
1_HARDERSFIELD_2514,1,HARDERSFIELD,2514,Bird Dog Peach Whiskey,750mL,4,14.99,2016-01-01
1_HARDERSFIELD_2517,1,HARDERSFIELD,2517,Balvenie 14 Yr Caribean Cask,750mL,0,71.99,2016-01-01
1_HARDERSFIELD_2518,1,HARDERSFIELD,2518,Woodford Reserve Double Oak,750mL,4,49.99,2016-01-01
1_HARDERSFIELD_2520,1,HARDERSFIELD,2520,The Macallan 12 Yr Old,750mL,4,56.99,2016-01-01
1_HARDERSFIELD_2522,1,HARDERSFIELD,2522,The Macallan 10 Yr Fine Oak,750mL,12,52.99,2016-01-01
1_HARDERSFIELD_2531,1,HARDERSFIELD,2531,WhistlePig 10 Yr Old Rye,750mL,4,65.99,2016-01-01
1_HARDERSFIELD_2532,1,HARDERSFIELD,2532,The Macallan 12 Yr Old,1.75L,9,134.99,2016-01-01
1_HARDERSFIELD_2534,1,HARDERSFIELD,2534,The Dalmore 12Yr Single Malt,750mL,9,49.99,2016-01-01
1_HARDERSFIELD_2543,1,HARDERSFIELD,2543,Darnley's View Gin,750mL,6,23.99,2016-01-01
1_HARDERSFIELD_2549,1,HARDERSFIELD,2549,WhistlePig 10 Yr Rye,375mL,11,40.99,2016-01-01
1_HARDERSFIELD_2554,1,HARDERSFIELD,2554,WhistlePig Old World 12 Yr,750mL,3,109.99,2016-01-01
1_HARDERSFIELD_2570,1,HARDERSFIELD,2570,Johnnie Walker Gold Rsv,750mL,1,79.99,2016-01-01
1_HARDERSFIELD_2582,1,HARDERSFIELD,2582,Firefly Blackberry Moonshine,750mL,12,14.99,2016-01-01
1_HARDERSFIELD_2585,1,HARDERSFIELD,2585,Jameson Irish Whiskey,750mL,123,22.99,2016-01-01
1_HARDERSFIELD_2586,1,HARDERSFIELD,2586,Jameson Irish Whiskey,50mL,0,2.99,2016-01-01
1_HARDERSFIELD_2587,1,HARDERSFIELD,2587,Jameson Irish Whiskey,375mL,8,18.99,2016-01-01
1_HARDERSFIELD_2589,1,HARDERSFIELD,2589,Jameson Irish Whiskey,1.75L,53,39.99,2016-01-01
1_HARDERSFIELD_2590,1,HARDERSFIELD,2590,The Black Grouse Scotch,1.75L,11,39.99,2016-01-01
1_HARDERSFIELD_2591,1,HARDERSFIELD,2591,Cardhu Scotch,750mL,4,39.99,2016-01-01
1_HARDERSFIELD_2593,1,HARDERSFIELD,2593,James Oliver American Whisky,750mL,12,29.99,2016-01-01
1_HARDERSFIELD_2595,1,HARDERSFIELD,2595,Clontarf Irish Whiskey,750mL,2,16.99,2016-01-01
1_HARDERSFIELD_2597,1,HARDERSFIELD,2597,Beefeater 24,750mL,8,21.99,2016-01-01
1_HARDERSFIELD_2598,1,HARDERSFIELD,2598,Firefly Apple Pie Moonshine,750mL,1,14.99,2016-01-01
1_HARDERSFIELD_2602,1,HARDERSFIELD,2602,Caol Ila 12 Yr Islay Single,750mL,4,56.99,2016-01-01
1_HARDERSFIELD_2604,1,HARDERSFIELD,2604,Johnnie Walker Collection 4,200mL 4 Pk,8,99.99,2016-01-01
1_HARDERSFIELD_2606,1,HARDERSFIELD,2606,Glenmorangie Original 18Yr,750mL,3,99.99,2016-01-01
1_HARDERSFIELD_2607,1,HARDERSFIELD,2607,Grand MacNish 12 Yr Old,750mL,17,21.99,2016-01-01
1_HARDERSFIELD_2609,1,HARDERSFIELD,2609,Pigs Nose Scotch,750mL,7,24.99,2016-01-01
1_HARDERSFIELD_2611,1,HARDERSFIELD,2611,Dewar's 15 Yr Old Rsv,750mL,8,51.99,2016-01-01
1_HARDERSFIELD_2615,1,HARDERSFIELD,2615,Chivas Regal,50mL,79,3.49,2016-01-01
1_HARDERSFIELD_2619,1,HARDERSFIELD,2619,Glenmorangie Original 10 Yr,1.75L,4,64.99,2016-01-01
1_HARDERSFIELD_2622,1,HARDERSFIELD,2622,Dewars Scratch Cask Scotch,750mL,39,24.99,2016-01-01
1_HARDERSFIELD_2623,1,HARDERSFIELD,2623,Ballantines,1.75L,0,28.99,2016-01-01
1_HARDERSFIELD_2624,1,HARDERSFIELD,2624,Dewars 18 Yr Old Founders Rv,750mL,10,64.99,2016-01-01
1_HARDERSFIELD_2625,1,HARDERSFIELD,2625,Nikka Coffey Grain Whisky,750mL,2,59.99,2016-01-01
1_HARDERSFIELD_2626,1,HARDERSFIELD,2626,Crown Royal Regal Apple,50mL,0,1.99,2016-01-01
1_HARDERSFIELD_2628,1,HARDERSFIELD,2628,Dewars Special RSV 12-Yr,750mL,32,29.99,2016-01-01
1_HARDERSFIELD_2630,1,HARDERSFIELD,2630,Old Pulteney Single Malt Sc,750mL,5,37.99,2016-01-01
1_HARDERSFIELD_2631,1,HARDERSFIELD,2631,Scapa Skiren Single Malt,750mL,1,71.99,2016-01-01
1_HARDERSFIELD_2636,1,HARDERSFIELD,2636,Nikka Whisky Taketsuru 12 Yr,750mL,4,68.99,2016-01-01
1_HARDERSFIELD_2637,1,HARDERSFIELD,2637,The Feathery Blended Scotch,750mL,6,53.99,2016-01-01
1_HARDERSFIELD_2639,1,HARDERSFIELD,2639,Bowmore Darkest Islay 15 Yr,750mL,2,65.99,2016-01-01
1_HARDERSFIELD_2640,1,HARDERSFIELD,2640,Michter's Small Batch Bourbn,750mL,4,40.99,2016-01-01
1_HARDERSFIELD_2643,1,HARDERSFIELD,2643,Dewars Signature,750mL,4,184.99,2016-01-01
